raw_adc,soc_linear_percent
1655,100.0
1650,99.9
1645,99.77
1640,98.62
1635,97.5
1630,96.32
1625,94.44
1620,92.76
1615,90.67
1610,88.59
1605,86.91
1600,85.8
1595,83.99
1590,82.11
1585,80.86
1580,79.6
1575,77.72
1570,76.99
1565,75.84
1560,74.37
1555,72.29
1550,70.4
1545,68.94
1540,67.69
1535,66.71
1530,65.81
1525,64.14
1520,62.81
1515,61.0
1510,59.96
1505,58.49
1500,57.24
1495,55.57
1490,54.32
1485,53.06
1480,51.39
1475,50.57
1470,49.32
1465,48.07
1460,46.4
1455,45.56
1450,44.1
1445,42.64
1440,41.59
1435,39.71
1430,37.62
1425,35.74
1420,34.28
1415,32.4
1410,31.25
1405,30.1
1400,28.43
1395,27.17
1390,25.71
1385,24.46
1380,23.41
1375,22.16
1370,20.69
1365,19.44
1360,18.26
1355,17.14
1350,15.89
1345,15.22
1340,14.42
1335,12.96
1330,11.71
1325,10.73
1320,9.62
1315,8.78
1310,8.15
1305,7.42
1300,6.94
1295,6.55
1290,6.17
1285,5.77
1280,5.56
1275,5.23
1270,4.77
1265,4.42
1260,4.08
1255,3.66
1250,3.4
1245,3.11
1240,2.81
1235,2.51
1230,2.28
1225,2.05
1220,1.84
1215,1.63
1210,1.39
1205,1.16
1200,0.93
1195,0.7
1190,0.46
1185,0.27
1180,0.08
1175,0.0
